"Species","Day","N"
"Paramecium aurelia",2,5.849283537
"Paramecium aurelia",3,13.67289007
"Paramecium aurelia",4,NA
"Paramecium aurelia",5,35.69788045
"Paramecium aurelia",6,73.94783955
"Paramecium aurelia",7,103.8551913
"Paramecium aurelia",8,128.8565161
"Paramecium aurelia",9,160.2356183
"Paramecium aurelia",10,201.922734
"Paramecium aurelia",11,225.4494282
"Paramecium aurelia",12,236.2176877
"Paramecium aurelia",13,200.8513227
"Paramecium aurelia",14,231.2500259
"Paramecium aurelia",15,NA
"Paramecium aurelia",16,217.9409088
"Paramecium aurelia",17,199.7534141
"Paramecium aurelia",18,219.845256
"Paramecium aurelia",19,NA
"Paramecium aurelia",20,NA
"Paramecium aurelia",21,227.1176041
"Paramecium aurelia",22,NA
"Paramecium aurelia",23,NA
"Paramecium aurelia",24,NA
"Paramecium aurelia",25,NA
